Date,CO2
1/7/1942,0
1/8/1942,-0.04
1/9/1942,-0.05
1/10/1942,-0.01
1/11/1942,0.08
1/12/1942,0.07
1/1/1943,-0.04
1/2/1943,0.13
1/3/1943,-0.08
1/4/1943,0.07
1/5/1943,0.04
1/6/1943,-0.06
1/7/1943,0.08
1/8/1943,0
1/9/1943,0.06
1/10/1943,0.22
1/11/1943,0.19
1/12/1943,0.24
1/1/1944,0.35
1/2/1944,0.26
1/3/1944,0.27
1/4/1944,0.2
1/5/1944,0.19
1/6/1944,0.2
1/7/1944,0.18
1/8/1944,0.17
1/9/1944,0.3
1/10/1944,0.26
1/11/1944,0.1
1/12/1944,0.02
1/1/1945,0.09
1/2/1945,-0.02
1/3/1945,0.07
1/4/1945,0.18
1/5/1945,0.05
1/6/1945,-0.01
1/7/1945,0.03
1/8/1945,0.27
1/9/1945,0.22
1/10/1945,0.19
1/11/1945,0.07
1/12/1945,-0.09
1/1/1946,0.15
1/2/1946,0.07
1/3/1946,0.01
1/4/1946,0.06
1/5/1946,-0.08
1/6/1946,-0.21
1/7/1946,-0.14
1/8/1946,-0.16
1/9/1946,-0.07
1/10/1946,-0.06
1/11/1946,-0.06
1/12/1946,-0.35
1/1/1947,-0.13
1/2/1947,-0.08
1/3/1947,0.07
1/4/1947,0.07
1/5/1947,-0.03
1/6/1947,0.02
1/7/1947,-0.08
1/8/1947,-0.09
1/9/1947,-0.13
1/10/1947,0.06
1/11/1947,0.02
1/12/1947,-0.16
1/1/1948,0.07
1/2/1948,-0.15
1/3/1948,-0.25
1/4/1948,-0.11
1/5/1948,0.01
1/6/1948,-0.04
1/7/1948,-0.11
1/8/1948,-0.12
1/9/1948,-0.11
1/10/1948,-0.07
1/11/1948,-0.12
1/12/1948,-0.23
1/1/1949,0.09
1/2/1949,-0.16
1/3/1949,-0.02
1/4/1949,-0.1
1/5/1949,-0.08
1/6/1949,-0.23
1/7/1949,-0.14
1/8/1949,-0.12
1/9/1949,-0.14
1/10/1949,-0.06
1/11/1949,-0.1
1/12/1949,-0.22
1/1/1950,-0.33
1/2/1950,-0.28
1/3/1950,-0.07
1/4/1950,-0.2
1/5/1950,-0.09
1/6/1950,-0.03
1/7/1950,-0.1
1/8/1950,-0.16
1/9/1950,-0.12
1/10/1950,-0.22
1/11/1950,-0.38
1/12/1950,-0.2
1/1/1951,-0.35
1/2/1951,-0.43
1/3/1951,-0.21
1/4/1951,-0.13
1/5/1951,0
1/6/1951,-0.02
1/7/1951,0.03
1/8/1951,0.06
1/9/1951,0.08
1/10/1951,0.05
1/11/1951,-0.02
1/12/1951,0.14
1/1/1952,0.13
1/2/1952,0.11
1/3/1952,-0.1
1/4/1952,0.02
1/5/1952,-0.02
1/6/1952,-0.04
1/7/1952,0.04
1/8/1952,0.04
1/9/1952,0.07
1/10/1952,-0.01
1/11/1952,-0.14
1/12/1952,-0.01
1/1/1953,0.08
1/2/1953,0.14
1/3/1953,0.11
1/4/1953,0.18
1/5/1953,0.09
1/6/1953,0.1
1/7/1953,0
1/8/1953,0.06
1/9/1953,0.04
1/10/1953,0.06
1/11/1953,-0.06
1/12/1953,0.02
1/1/1954,-0.28
1/2/1954,-0.13
1/3/1954,-0.15
1/4/1954,-0.17
1/5/1954,-0.21
1/6/1954,-0.17
1/7/1954,-0.19
1/8/1954,-0.17
1/9/1954,-0.1
1/10/1954,-0.04
1/11/1954,0.06
1/12/1954,-0.22
1/1/1955,0.14
1/2/1955,-0.17
1/3/1955,-0.34
1/4/1955,-0.21
1/5/1955,-0.21
1/6/1955,-0.12
1/7/1955,-0.12
1/8/1955,0.01
1/9/1955,-0.11
1/10/1955,-0.05
1/11/1955,-0.24
1/12/1955,-0.3
1/1/1956,-0.16
1/2/1956,-0.26
1/3/1956,-0.23
1/4/1956,-0.27
1/5/1956,-0.31
1/6/1956,-0.16
1/7/1956,-0.12
1/8/1956,-0.26
1/9/1956,-0.2
1/10/1956,-0.24
1/11/1956,-0.17
1/12/1956,-0.08
1/1/1957,-0.11
1/2/1957,-0.04
1/3/1957,-0.06
1/4/1957,-0.01
1/5/1957,0.09
1/6/1957,0.16
1/7/1957,0.01
1/8/1957,0.15
1/9/1957,0.09
1/10/1957,0.01
1/11/1957,0.06
1/12/1957,0.16
1/1/1958,0.39
1/2/1958,0.24
1/3/1958,0.11
1/4/1958,0.03
1/5/1958,0.07
1/6/1958,-0.07
1/7/1958,0.05
1/8/1958,-0.03
1/9/1958,-0.02
1/10/1958,0.04
1/11/1958,0.02
1/12/1958,0
1/1/1959,0.08
1/2/1959,0.09
1/3/1959,0.18
1/4/1959,0.13
1/5/1959,0.04
1/6/1959,0.02
1/7/1959,0.06
1/8/1959,-0.01
1/9/1959,-0.06
1/10/1959,-0.09
1/11/1959,-0.09
1/12/1959,-0.01
1/1/1960,-0.01
1/2/1960,0.16
1/3/1960,-0.34
1/4/1960,-0.14
1/5/1960,-0.07
1/6/1960,-0.04
1/7/1960,-0.03
1/8/1960,0.01
1/9/1960,0.07
1/10/1960,0.07
1/11/1960,-0.12
1/12/1960,0.18
1/1/1961,0.07
1/2/1961,0.19
1/3/1961,0.09
1/4/1961,0.12
1/5/1961,0.11
1/6/1961,0.11
1/7/1961,0
1/8/1961,0.03
1/9/1961,0.07
1/10/1961,0
1/11/1961,0.03
1/12/1961,-0.15
1/1/1962,0.07
1/2/1962,0.14
1/3/1962,0.12
1/4/1962,0.04
1/5/1962,-0.04
1/6/1962,0.04
1/7/1962,0.02
1/8/1962,-0.01
1/9/1962,0.01
1/10/1962,0
1/11/1962,0.07
1/12/1962,0
1/1/1963,-0.02
1/2/1963,0.2
1/3/1963,-0.14
1/4/1963,-0.06
1/5/1963,-0.04
1/6/1963,0.05
1/7/1963,0.08
1/8/1963,0.27
1/9/1963,0.2
1/10/1963,0.15
1/11/1963,0.15
1/12/1963,-0.01
1/1/1964,-0.08
1/2/1964,-0.13
1/3/1964,-0.23
1/4/1964,-0.31
1/5/1964,-0.25
1/6/1964,-0.02
1/7/1964,-0.03
1/8/1964,-0.21
1/9/1964,-0.29
1/10/1964,-0.31
1/11/1964,-0.21
1/12/1964,-0.3
1/1/1965,-0.08
1/2/1965,-0.17
1/3/1965,-0.11
1/4/1965,-0.19
1/5/1965,-0.14
1/6/1965,-0.09
1/7/1965,-0.12
1/8/1965,-0.03
1/9/1965,-0.16
1/10/1965,-0.05
1/11/1965,-0.07
1/12/1965,-0.06
1/1/1966,-0.17
1/2/1966,-0.01
1/3/1966,0.05
1/4/1966,-0.12
1/5/1966,-0.11
1/6/1966,0.01
1/7/1966,0.09
1/8/1966,-0.08
1/9/1966,-0.02
1/10/1966,-0.15
1/11/1966,-0.02
1/12/1966,-0.06
1/1/1967,-0.06
1/2/1967,-0.21
1/3/1967,0.04
1/4/1967,-0.05
1/5/1967,0.14
1/6/1967,-0.08
1/7/1967,0.01
1/8/1967,0.01
1/9/1967,-0.06
1/10/1967,0.08
1/11/1967,-0.07
1/12/1967,-0.03
1/1/1968,-0.25
1/2/1968,-0.15
1/3/1968,0.2
1/4/1968,-0.06
1/5/1968,-0.13
1/6/1968,-0.08
1/7/1968,-0.12
1/8/1968,-0.09
1/9/1968,-0.18
1/10/1968,0.1
1/11/1968,-0.03
1/12/1968,-0.13
1/1/1969,-0.11
1/2/1969,-0.14
1/3/1969,0.01
1/4/1969,0.18
1/5/1969,0.19
1/6/1969,0.05
1/7/1969,-0.02
1/8/1969,0.03
1/9/1969,0.09
1/10/1969,0.13
1/11/1969,0.13
1/12/1969,0.27
1/1/1970,0.09
1/2/1970,0.22
1/3/1970,0.08
1/4/1970,0.09
1/5/1970,-0.04
1/6/1970,-0.02
1/7/1970,-0.02
1/8/1970,-0.09
1/9/1970,0.11
1/10/1970,0.06
1/11/1970,0.02
1/12/1970,-0.12
1/1/1971,-0.02
1/2/1971,-0.2
1/3/1971,-0.17
1/4/1971,-0.08
1/5/1971,-0.05
1/6/1971,-0.19
1/7/1971,-0.11
1/8/1971,-0.03
1/9/1971,-0.04
1/10/1971,-0.06
1/11/1971,-0.05
1/12/1971,-0.09
1/1/1972,-0.24
1/2/1972,-0.17
1/3/1972,0.02
1/4/1972,0
1/5/1972,-0.04
1/6/1972,0.06
1/7/1972,0.01
1/8/1972,0.17
1/9/1972,0.02
1/10/1972,0.09
1/11/1972,0.04
1/12/1972,0.2
1/1/1973,0.29
1/2/1973,0.31
1/3/1973,0.27
1/4/1973,0.26
1/5/1973,0.26
1/6/1973,0.18
1/7/1973,0.1
1/8/1973,0.03
1/9/1973,0.1
1/10/1973,0.14
1/11/1973,0.06
1/12/1973,-0.06
1/1/1974,-0.15
1/2/1974,-0.28
1/3/1974,-0.05
1/4/1974,-0.11
1/5/1974,-0.02
1/6/1974,-0.06
1/7/1974,-0.04
1/8/1974,0.11
1/9/1974,-0.11
1/10/1974,-0.08
1/11/1974,-0.07
1/12/1974,-0.09
1/1/1975,0.07
1/2/1975,0.07
1/3/1975,0.13
1/4/1975,0.05
1/5/1975,0.16
1/6/1975,0.01
1/7/1975,-0.01
1/8/1975,-0.19
1/9/1975,-0.03
1/10/1975,-0.09
1/11/1975,-0.16
1/12/1975,-0.17
1/1/1976,-0.01
1/2/1976,-0.06
1/3/1976,-0.21
1/4/1976,-0.08
1/5/1976,-0.24
1/6/1976,-0.16
1/7/1976,-0.1
1/8/1976,-0.14
1/9/1976,-0.09
1/10/1976,-0.26
1/11/1976,-0.04
1/12/1976,0.1
1/1/1977,0.19
1/2/1977,0.22
1/3/1977,0.25
1/4/1977,0.28
1/5/1977,0.3
1/6/1977,0.24
1/7/1977,0.2
1/8/1977,0.16
1/9/1977,0
1/10/1977,0.02
1/11/1977,0.17
1/12/1977,0.02
1/1/1978,0.06
1/2/1978,0.14
1/3/1978,0.21
1/4/1978,0.15
1/5/1978,0.06
1/6/1978,-0.02
1/7/1978,0.03
1/8/1978,-0.17
1/9/1978,0.05
1/10/1978,0
1/11/1978,0.16
